datetime,open,high,low,close,volume
2024-01-01 09:15:00,22000.0,22033.45,21920.27,21966.19,140972
2024-01-01 09:30:00,21966.19,22028.96,21909.33,21934.99,126050
2024-01-01 09:45:00,21934.99,21967.93,21868.79,21901.69,73635
2024-01-01 10:00:00,21901.69,21965.48,21890.18,21927.56,196231
2024-01-01 10:15:00,21927.56,21941.95,21906.05,21913.77,228584
2024-01-01 10:30:00,21913.77,21930.95,21876.76,21888.69,198625
2024-01-01 10:45:00,21888.69,21908.25,21844.8,21859.31,145065
2024-01-01 11:00:00,21859.31,21885.77,21831.14,21876.32,229333
2024-01-01 11:15:00,21876.32,21909.99,21803.42,21835.26,249164
2024-01-01 11:30:00,21835.26,21866.1,21738.9,21802.39,143831
2024-01-01 11:45:00,21802.39,21825.13,21797.04,21818.9,76494
2024-01-01 12:00:00,21818.9,21857.24,21770.87,21788.02,97689
2024-01-01 12:15:00,21788.02,21796.8,21775.56,21780.03,182539
2024-01-01 12:30:00,21780.03,21780.64,21778.8,21780.29,232230
2024-01-01 12:45:00,21780.29,21789.11,21748.34,21769.09,141597
2024-01-01 13:00:00,21769.09,21771.52,21767.43,21768.11,226861
2024-01-01 13:15:00,21768.11,21827.12,21704.25,21803.54,71252
2024-01-01 13:30:00,21803.54,21816.38,21780.29,21790.46,75358
2024-01-01 13:45:00,21790.46,21851.79,21729.43,21757.99,143715
2024-01-01 14:00:00,21757.99,21794.02,21612.59,21686.61,92283
2024-01-01 14:15:00,21686.61,21692.14,21677.71,21681.71,110714
2024-01-01 14:30:00,21681.71,21697.3,21655.01,21672.98,182014
2024-01-01 14:45:00,21672.98,21683.29,21667.07,21680.31,236872
2024-01-01 15:00:00,21680.31,21693.25,21633.47,21662.64,214156
2024-01-01 15:15:00,21662.64,21687.23,21633.0,21650.63,100133
2024-01-02 09:15:00,21650.63,21684.0,21612.17,21632.33,242035
2024-01-02 09:30:00,21632.33,21641.72,21602.4,21619.28,52585
2024-01-02 09:45:00,21619.28,21629.2,21610.58,21623.87,54227
2024-01-02 10:00:00,21623.87,21630.45,21603.92,21614.43,220726
2024-01-02 10:15:00,21614.43,21624.52,21612.47,21618.77,87836
2024-01-02 10:30:00,21618.77,21727.9,21566.0,21668.58,212014
2024-01-02 10:45:00,21668.58,21696.64,21646.51,21687.71,134601
2024-01-02 11:00:00,21687.71,21746.41,21590.81,21647.16,162808
2024-01-02 11:15:00,21647.16,21717.67,21599.45,21692.68,160170
2024-01-02 11:30:00,21692.68,21713.26,21683.74,21702.17,160754
2024-01-02 11:45:00,21702.17,21731.88,21660.48,21678.1,205685
2024-01-02 12:00:00,21678.1,21726.91,21658.01,21702.14,191347
2024-01-02 12:15:00,21702.14,21703.85,21701.51,21703.03,161342
2024-01-02 12:30:00,21703.03,21719.09,21665.22,21687.45,218569
2024-01-02 12:45:00,21687.45,21704.35,21659.91,21671.4,153726
2024-01-02 13:00:00,21671.4,21697.29,21624.89,21646.02,67755
2024-01-02 13:15:00,21646.02,21650.54,21642.56,21647.7,97852
2024-01-02 13:30:00,21647.7,21712.91,21617.31,21675.92,51632
2024-01-02 13:45:00,21675.92,21683.5,21661.35,21667.9,180026
2024-01-02 14:00:00,21667.9,21694.99,21646.95,21679.27,99441
2024-01-02 14:15:00,21679.27,21750.17,21607.52,21728.56,166473
2024-01-02 14:30:00,21728.56,21763.03,21636.74,21697.35,63916
2024-01-02 14:45:00,21697.35,21715.55,21687.56,21704.49,239131
2024-01-02 15:00:00,21704.49,21715.34,21684.3,21692.95,214717
2024-01-02 15:15:00,21692.95,21722.25,21635.68,21665.83,87950
2024-01-03 09:15:00,21665.83,21702.89,21590.06,21626.29,162846
2024-01-03 09:30:00,21626.29,21626.92,21626.01,21626.33,74952
2024-01-03 09:45:00,21626.33,21655.06,21610.96,21638.02,188595
2024-01-03 10:00:00,21638.02,21646.76,21612.06,21624.66,120702
2024-01-03 10:15:00,21624.66,21627.97,21622.72,21626.5,164183
2024-01-03 10:30:00,21626.5,21668.76,21606.25,21645.68,115124
2024-01-03 10:45:00,21645.68,21661.74,21641.78,21653.82,155838
2024-01-03 11:00:00,21653.82,21715.61,21637.45,21676.84,140607
2024-01-03 11:15:00,21676.84,21698.03,21652.35,21689.28,125593
2024-01-03 11:30:00,21689.28,21729.25,21674.06,21702.42,84305
2024-01-03 11:45:00,21702.42,21816.96,21653.88,21750.47,94251
2024-01-03 12:00:00,21750.47,21782.75,21742.66,21767.18,191364
2024-01-03 12:15:00,21767.18,21778.45,21763.22,21771.0,227322
2024-01-03 12:30:00,21771.0,21805.51,21741.09,21789.99,214530
2024-01-03 12:45:00,21789.99,21810.31,21757.48,21766.41,169897
2024-01-03 13:00:00,21766.41,21774.91,21748.94,21758.02,51257
2024-01-03 13:15:00,21758.02,21797.57,21741.98,21779.18,208826
2024-01-03 13:30:00,21779.18,21828.04,21765.65,21796.11,232053
2024-01-03 13:45:00,21796.11,21873.23,21740.5,21837.08,111660
2024-01-03 14:00:00,21837.08,21839.62,21834.95,21837.79,68114
2024-01-03 14:15:00,21837.79,21855.79,21735.13,21799.94,94688
2024-01-03 14:30:00,21799.94,21920.39,21759.85,21851.37,111254
2024-01-03 14:45:00,21851.37,21940.72,21832.69,21880.49,123760
2024-01-03 15:00:00,21880.49,21926.46,21822.14,21853.14,147270
2024-01-03 15:15:00,21853.14,21915.89,21810.75,21889.69,118413
